SurveyArea,Year_Survey,Biomass_lb
ICY,2014,72291.187
ICY,2015,41469.463
GLB,1997,
GLB,1998,
GLB,1999,262768.4093
GLB,2000,168437.0228
GLB,2001,177497.77
GLB,2002,210547.9915
GLB,2003,257317.5381
GLB,2004,253288.654
GLB,2005,294898.5072
GLB,2006,437413.5556
GLB,2007,352884.7162
GLB,2008,314254.4264
GLB,2009,299551.0621
GLB,2010,287047.9894
GLB,2011,273121.325
GLB,2012,221112.6048
GLB,2013,199014.325
GLB,2014,215734.9519
GLB,2015,287412.706
PC,1997,
PC,1998,
PC,1999,
PC,2000,
PC,2001,58343.00907
PC,2002,45029.54414
PC,2003,87100.90105
PC,2004,51130.85961
PC,2005,39670.48053
PC,2006,47234.88063
PC,2007,24129.49145
PC,2008,31415.13363
PC,2009,69872.93263
PC,2010,55601.7529
PC,2011,52411.93356
PC,2012,50820.78771
PC,2013,26407.59158
PC,2014,28211.91458
PC,2015,
TB,1997,
TB,1998,
TB,1999,
TB,2000,
TB,2001,70022.35057
TB,2002,86883.58921
TB,2003,120785.4365
TB,2004,146023.1398
TB,2005,194836.8971
TB,2006,120802.0218
TB,2007,79742.28386
TB,2008,112978.4429
TB,2009,82097.64296
TB,2010,78908.71153
TB,2011,109299.2798
TB,2012,97986.17562
TB,2013,56319.10929
TB,2014,58915.97048
TB,2015,163884.8544
HB,1997,
HB,1998,219556.6479
HB,1999,310873.3216
HB,2000,175334.4044
HB,2001,133949.2618
HB,2002,118791.9601
HB,2003,129631.2256
HB,2004,104014.3181
HB,2005,84650.53151
HB,2006,84705.84104
HB,2007,59968.24385
HB,2008,67434.40785
HB,2009,110795.8253
HB,2010,200783.1737
HB,2011,320852.7487
HB,2012,309867.2739
HB,2013,353814.147
HB,2014,371902.6064
HB,2015,359177.6412
